id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,bathrooms,property_type,beds,host_listings_count,instant_bookable,first_review,accommodates,review_scores_rating
5316637,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.1865,-8.66207,Entire home/apt,59,2,6,2019-06-06,0.09,3,344,2.0,Entire apartment,4.0,4.0,f,2015-06-09,6,90.0
5317199,PORTO,Bonfim,41.14787,-8.60191,Entire home/apt,50,2,179,2020-09-27,2.51,19,364,1.0,Entire apartment,2.0,19.0,t,2015-04-08,3,93.0
5326623,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1432,-8.60261,Entire home/apt,40,2,180,2020-02-24,3.03,2,269,1.0,Entire townhouse,2.0,2.0,t,2016-03-30,5,97.0
5328456,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13978,-8.61577,Entire home/apt,130,2,2,2015-10-18,0.03,6,364,1.0,Entire apartment,1.0,6.0,f,2015-09-16,2,100.0
5331840,PORTO,Lordelo do Ouro e Massarelos,41.14792,-8.65004,Entire home/apt,68,2,72,2020-10-06,1.04,15,303,1.0,Entire apartment,0.0,10.0,t,2015-06-01,4,92.0
5332449,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1606,-8.63208,Entire home/apt,73,1,6,2018-04-01,0.08,3,0,2.0,Entire apartment,4.0,4.0,f,2015-04-22,6,83.0
5351789,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1627,-8.6209,Entire home/apt,98,3,78,2020-09-11,1.09,4,354,1.0,Earth house,5.0,4.0,t,2015-04-06,8,96.0
5358397,SANTA MARIA DA FEIRA,"Lobão, Gião, Louredo e Guisande",40.98868,-8.49837,Entire home/apt,45,5,6,2018-07-25,0.09,1,0,4.0,Entire house,3.0,0.0,f,2015-08-05,6,56.0
5401343,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15295,-8.61767,Private room,56,3,10,2020-01-01,0.14,2,365,1.0,Private room in house,1.0,2.0,f,2015-06-14,2,100.0
5405099,PORTO,Bonfim,41.14644,-8.59939,Entire home/apt,44,2,178,2019-09-13,2.46,19,2,1.0,Entire apartment,1.0,19.0,t,2015-03-13,2,92.0
5409513,VILA DO CONDE,Vila Chã,41.30309,-8.7371,Entire home/apt,75,2,13,2018-08-04,0.19,3,348,1.0,Entire apartment,3.0,4.0,f,2015-07-01,5,93.0
5411198,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13545,-8.6115,Entire home/apt,55,1,10,2018-04-01,0.14,6,365,1.0,Entire apartment,1.0,7.0,t,2015-03-31,2,86.0
5414291,VALONGO,Valongo,41.19887,-8.49864,Entire home/apt,69,3,63,2020-09-05,0.89,2,201,3.0,Entire villa,4.0,2.0,f,2015-05-03,8,97.0
5419410,PORTO,Paranhos,41.16663,-8.60124,Entire home/apt,70,2,60,2020-07-29,0.84,1,14,3.0,Entire apartment,6.0,0.0,t,2015-03-24,8,92.0
5435014,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14217,-8.61491,Entire home/apt,62,2,107,2020-02-16,1.52,6,312,1.5,Entire apartment,6.0,6.0,t,2015-05-05,9,87.0
5464976,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14777,-8.61069,Entire home/apt,60,5,99,2018-12-06,1.38,2,30,1.0,Entire apartment,1.0,2.0,t,2015-03-20,2,92.0
5465136,PORTO,Paranhos,41.16996,-8.59715,Entire home/apt,240,2,26,2019-08-01,0.36,1,180,2.0,Entire apartment,5.0,6.0,f,2015-04-05,8,98.0
5477997,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14932,-8.61299,Entire home/apt,43,1,539,2021-01-10,7.45,18,352,1.0,Entire apartment,2.0,20.0,t,2015-03-08,3,90.0
5486731,VALONGO,Valongo,41.1994,-8.49909,Hotel room,69,3,18,2019-09-23,0.27,2,209,1.0,Room in nature lodge,1.0,2.0,f,2015-07-30,2,99.0
5495303,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15319,-8.6102,Entire home/apt,19,2,450,2020-11-06,6.21,3,0,1.0,Entire apartment,1.0,3.0,t,2015-03-06,2,91.0
5496215,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15251,-8.60576,Entire home/apt,68,2,63,2020-02-26,0.88,9,365,1.0,Entire apartment,2.0,7.0,t,2015-04-08,4,93.0
5523392,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14551,-8.62066,Entire home/apt,100,1,217,2020-03-06,3.44,1,364,1.0,Entire apartment,3.0,1.0,t,2015-12-09,6,99.0
5524457,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14403,-8.61217,Entire home/apt,28,2,412,2021-01-10,5.76,2,365,1.0,Entire apartment,1.0,2.0,t,2015-03-31,2,94.0
5535020,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14327,-8.6046,Entire home/apt,61,3,125,2020-10-09,1.77,2,348,1.0,Entire apartment,2.0,2.0,f,2015-04-26,4,98.0
5547289,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.11862,-8.61521,Private room,25,1,140,2020-10-01,1.95,1,174,1.0,Private room in apartment,1.0,2.0,f,2015-03-22,2,96.0
5555465,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14122,-8.61723,Entire home/apt,85,2,45,2020-02-12,0.63,9,143,1.0,Entire apartment,5.0,7.0,t,2015-04-18,6,92.0
5557541,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14002,-8.61518,Entire home/apt,81,1,30,2017-03-27,0.42,18,109,1.0,Entire apartment,2.0,20.0,t,2015-04-20,4,89.0
5564802,VILA DO CONDE,Rio Mau e Arcos,41.39706,-8.66574,Private room,75,1,4,2019-01-01,0.06,2,316,1.0,Private room in bed and breakfast,1.0,3.0,t,2015-10-25,2,95.0
5565131,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15045,-8.61094,Entire home/apt,40,3,84,2019-09-07,1.18,3,179,1.0,Entire apartment,2.0,4.0,f,2015-04-04,3,87.0
5565358,VILA DO CONDE,Rio Mau e Arcos,41.3975,-8.66511,Entire home/apt,90,1,4,2020-12-08,0.07,2,254,1.0,Entire bed and breakfast,1.0,3.0,t,2016-06-21,2,100.0
5577090,PORTO,Bonfim,41.14393,-8.59876,Entire home/apt,20,1,92,2021-01-02,1.54,3,1,1.0,Entire apartment,2.0,5.0,t,2016-03-26,2,85.0
